id,title,presenter,category,board,slots
70,Green Gluten-Free Soba from Pandan Leaves,,国際共同,IC-007a,10:30-11:30
71,Effect of Different Herbs on the Spoilage Rate of Coconut Milk,,国際共同,IC-009a,10:30-11:30
72,Effect of Synthesis Time in Green Synthesized Carbon Dots Thai Herbs for Enhancing Growth of Japanese Moyashi,,国際共同,IC-011a,10:30-11:30
73,Pad Thai with Ramen Noodles,,国際共同,IC-016a,10:30-11:30
74,Thai Rice Mochi: The Application of Thai Glutinous Rice in Making Japanese-Style Mochi,,国際共同,IC-018a,10:30-11:30
75,Effectiveness of Various Bacteria at Bioremediation of Crude Oil in a Bacterial Cellulose-based Aerogel as an Adsorbent,,国際共同,IC-020,11:00-11:30|12:00-12:30
76,Investigating Alginate-based Oral Delivery systems for Optimal Drug Release,,国際共同,IC-022,11:00-11:30|12:00-12:30
77,Photochemistry ~To create sunscreen that doesn’t burn~,,国際共同,IC-005b,11:30-12:30
78,Developing Sunscreen Sade from Wine By-product,,国際共同,IC-007b,11:30-12:30
79,Power from Snow and Compost: A thermal Gradient Approach,,国際共同,IC-009b,11:30-12:30
80,What Constitutes a Meal That Is Easy to Eat and Nutritionally Adequate? — Focusing on the Japanese Cultural Food “Onigiri” —,,国際共同,IC-011b,11:30-12:30
81,How to keep Mangosteen fresh in Hokkaido,,国際共同,IC-016b,11:30-12:30
82,The Relationship Between MBTI Personality Types and Students’ Interest in Going Abroad,,国際共同,IC-018b,11:30-12:30
